epoch,train_loss,val_loss,map,mAP03,prec,rec,f1
1,2.833747,1.557498,0.658320,0.989663,0.993663,0.994924,0.994293
2,1.273788,1.156640,0.739439,0.989734,0.999365,0.998731,0.999048
3,1.015589,0.998999,0.775011,0.989848,0.998732,0.999365,0.999049
4,0.877061,0.884613,0.784712,0.989634,0.999365,0.999365,0.999365
5,0.798586,0.834118,0.809788,0.989854,0.999365,0.999365,0.999365
6,0.730521,0.785798,0.808967,0.989628,0.998732,0.999365,0.999049
7,0.675260,0.776872,0.806352,0.989691,0.999365,0.999365,0.999365
8,0.643594,0.724718,0.823611,0.989659,0.998732,0.999365,0.999049
9,0.602382,0.684055,0.831274,0.989527,0.999365,0.999365,0.999365
10,0.573330,0.679001,0.827560,0.989766,0.998099,0.999365,0.998732
11,0.544386,0.668664,0.837387,0.989860,0.999365,0.999365,0.999365
12,0.524532,0.673755,0.813783,0.989747,0.999365,0.999365,0.999365
13,0.500124,0.660734,0.835873,0.989559,0.999365,0.999365,0.999365
14,0.483284,0.631030,0.841254,0.989634,0.999365,0.999365,0.999365
15,0.465039,0.625903,0.845751,0.989546,0.998732,0.999365,0.999049
16,0.445968,0.690902,0.806221,0.989559,0.999365,0.999365,0.999365
17,0.431345,0.611488,0.850258,0.989735,0.999365,0.999365,0.999365
18,0.409974,0.627192,0.841897,0.989615,0.999365,0.999365,0.999365
19,0.395960,0.622989,0.848612,0.989810,0.999365,0.999365,0.999365
20,0.390071,0.611718,0.847181,0.989653,0.999365,0.999365,0.999365
21,0.379444,0.617119,0.851940,0.989534,0.999365,0.999365,0.999365
22,0.360394,0.609378,0.850798,0.989584,0.999365,0.999365,0.999365
23,0.351728,0.616761,0.846591,0.989502,0.999365,0.999365,0.999365
24,0.333683,0.634936,0.853994,0.989584,0.999365,0.999365,0.999365
25,0.333206,0.631753,0.852274,0.989672,0.999365,0.999365,0.999365
26,0.319779,0.631865,0.854497,0.989753,0.999365,0.999365,0.999365
27,0.311446,0.643766,0.851314,0.989615,0.999365,0.999365,0.999365
28,0.301548,0.621904,0.858631,0.989540,0.998099,0.999365,0.998732
29,0.294448,0.645454,0.846130,0.989716,0.998732,0.999365,0.999049
30,0.283284,0.670597,0.856356,0.989785,0.998732,0.999365,0.999049
31,0.238624,0.618234,0.860903,0.989710,0.999365,0.999365,0.999365
32,0.226351,0.624881,0.860895,0.989791,0.999365,0.999365,0.999365
33,0.219967,0.622856,0.862325,0.989647,0.999365,0.999365,0.999365
34,0.217776,0.623812,0.862520,0.989779,0.999365,0.999365,0.999365
35,0.214278,0.630147,0.861866,0.989653,0.999365,0.999365,0.999365
36,0.209022,0.623248,0.863915,0.989653,0.999365,0.999365,0.999365
37,0.204733,0.627668,0.863989,0.989672,0.999365,0.999365,0.999365
38,0.203625,0.627175,0.860114,0.989678,0.999365,0.999365,0.999365
39,0.202295,0.640838,0.864511,0.989785,0.999365,0.999365,0.999365
40,0.200140,0.630707,0.863214,0.989691,0.999365,0.999365,0.999365
41,0.197863,0.633918,0.862730,0.989710,0.999365,0.999365,0.999365
42,0.197533,0.645225,0.861966,0.989710,0.999365,0.999365,0.999365
43,0.194538,0.642612,0.860716,0.989728,0.999365,0.999365,0.999365
44,0.191144,0.644171,0.861814,0.989471,0.999365,0.999365,0.999365
45,0.193100,0.650560,0.864514,0.989728,0.999365,0.999365,0.999365
46,0.188920,0.653573,0.860450,0.989471,0.999365,0.999365,0.999365
47,0.188150,0.653497,0.861791,0.989471,0.999365,0.999365,0.999365
48,0.185545,0.647248,0.860870,0.989471,0.999365,0.999365,0.999365
49,0.185511,0.646349,0.863441,0.989471,0.999365,0.999365,0.999365
50,0.183037,0.652277,0.864252,0.989854,0.999365,0.999365,0.999365
51,0.183386,0.653616,0.863869,0.989471,0.999365,0.999365,0.999365
52,0.179716,0.656168,0.863474,0.989471,0.999365,0.999365,0.999365
53,0.178723,0.661115,0.861310,0.989791,0.999365,0.999365,0.999365
54,0.179904,0.662155,0.862130,0.989471,0.999365,0.999365,0.999365
55,0.174249,0.663050,0.861649,0.989471,0.998732,0.999365,0.999049
56,0.176229,0.659830,0.860237,0.989471,0.999365,0.999365,0.999365
57,0.171954,0.667954,0.859951,0.989471,0.999365,0.999365,0.999365
58,0.172217,0.668429,0.866212,0.989911,0.999365,0.999365,0.999365
59,0.172901,0.671945,0.860404,0.989471,0.999365,0.999365,0.999365
60,0.167735,0.679816,0.861014,0.989835,0.999365,0.999365,0.999365
61,0.166200,0.677600,0.862864,0.989848,0.999365,0.999365,0.999365
62,0.162754,0.671507,0.861772,0.989471,0.999365,0.999365,0.999365
63,0.161912,0.679335,0.859137,0.989471,0.999365,0.999365,0.999365
64,0.163872,0.676278,0.860278,0.989471,0.999365,0.999365,0.999365
65,0.162297,0.672322,0.862918,0.989471,0.999365,0.999365,0.999365
66,0.163370,0.680154,0.864545,0.989471,0.999365,0.999365,0.999365
67,0.164207,0.675117,0.860231,0.989471,0.999365,0.999365,0.999365
68,0.160445,0.677640,0.861896,0.989471,0.999365,0.999365,0.999365
69,0.162088,0.677042,0.863705,0.989848,0.999365,0.999365,0.999365
70,0.162087,0.678769,0.863800,0.989471,0.999365,0.999365,0.999365
