epoch,train_loss,val_loss,map,mAP03,prec,rec,f1
1,3.353573,1.961121,0.573306,0.989301,0.781698,1.000000,0.877475
2,1.376514,1.504134,0.626217,0.989303,0.932895,1.000000,0.965283
3,1.092503,1.451583,0.624676,0.989443,0.991608,1.000000,0.995787
4,0.975612,1.596866,0.597091,0.989205,0.000000,0.000000,0.000000
5,0.891454,1.414715,0.639479,0.989038,0.995787,1.000000,0.997889
6,0.833325,1.401282,0.669067,0.988940,0.998592,1.000000,0.999295
7,0.789055,1.457205,0.639119,0.989108,0.000000,0.000000,0.000000
8,0.747409,1.566654,0.610677,0.989135,0.000000,0.000000,0.000000
9,0.702449,1.525600,0.617136,0.989429,0.000000,0.000000,0.000000
10,0.667913,1.615797,0.615633,0.989289,0.000000,0.000000,0.000000
11,0.654960,1.496814,0.648617,0.989275,0.000000,0.000000,0.000000
12,0.618025,1.548691,0.637577,0.989135,0.000000,0.000000,0.000000
13,0.598785,1.735363,0.613478,0.989331,0.000000,0.000000,0.000000
14,0.565525,1.417975,0.691444,0.989010,0.998592,1.000000,0.999295
15,0.545101,1.889025,0.592323,0.989554,0.000000,0.000000,0.000000
16,0.526410,1.630525,0.649289,0.989233,0.000000,0.000000,0.000000
17,0.513023,2.158070,0.579175,0.989457,0.000000,0.000000,0.000000
18,0.493130,2.130885,0.571914,0.989499,0.998592,1.000000,0.999295
19,0.466284,1.811731,0.634140,0.989499,0.000000,0.000000,0.000000
20,0.452758,1.889541,0.618984,0.989415,0.998592,1.000000,0.999295
21,0.437625,1.801536,0.647693,0.989694,0.000000,0.000000,0.000000
22,0.420813,1.726796,0.657108,0.989694,0.997187,1.000000,0.998592
23,0.410508,1.695225,0.670777,0.989149,0.000000,0.000000,0.000000
24,0.398173,1.739783,0.679111,0.989429,0.998592,1.000000,0.999295
25,0.383013,1.873466,0.662639,0.989610,0.000000,0.000000,0.000000
26,0.366285,1.890464,0.672473,0.989512,0.000000,0.000000,0.000000
27,0.368831,2.023279,0.623866,0.989890,0.000000,0.000000,0.000000
28,0.352398,2.025478,0.637760,0.989638,0.000000,0.000000,0.000000
29,0.340446,1.990465,0.653880,0.989820,0.000000,0.000000,0.000000
30,0.324693,1.997271,0.630865,0.989834,0.000000,0.000000,0.000000
31,0.280326,2.082932,0.644586,0.989610,0.000000,0.000000,0.000000
32,0.268820,2.028200,0.644788,0.989959,0.998592,1.000000,0.999295
33,0.263654,2.001854,0.648950,0.989708,0.000000,0.000000,0.000000
34,0.253049,2.091933,0.648189,0.989736,0.998592,1.000000,0.999295
35,0.249530,2.129329,0.640298,0.989443,0.000000,0.000000,0.000000
36,0.247515,2.099933,0.648720,0.989764,0.997187,1.000000,0.998592
37,0.244486,2.092919,0.649107,0.989708,0.998592,1.000000,0.999295
38,0.239542,2.173027,0.640405,0.989820,0.000000,0.000000,0.000000
39,0.234816,2.059899,0.657410,0.989415,0.000000,0.000000,0.000000
40,0.235738,2.136914,0.657657,0.989708,0.000000,0.000000,0.000000
41,0.234170,2.209345,0.637709,0.989848,0.998592,1.000000,0.999295
42,0.228121,2.178594,0.643855,0.989792,0.998592,1.000000,0.999295
43,0.226643,2.172260,0.644417,0.989876,0.000000,0.000000,0.000000
44,0.228613,2.199429,0.647784,0.989778,0.000000,0.000000,0.000000
45,0.223725,2.114400,0.659628,0.989471,0.998592,1.000000,0.999295
46,0.223100,2.198539,0.652798,0.989652,0.998592,1.000000,0.999295
47,0.217092,2.300535,0.633630,0.989736,0.998592,1.000000,0.999295
48,0.215835,2.282023,0.640628,0.989904,0.998592,1.000000,0.999295
49,0.216886,2.107417,0.658872,0.989443,0.998592,1.000000,0.999295
50,0.213233,2.144459,0.656330,0.989764,0.000000,0.000000,0.000000
51,0.210600,2.323457,0.641114,0.989694,0.998592,1.000000,0.999295
52,0.210161,2.280813,0.649979,0.989820,0.000000,0.000000,0.000000
53,0.211595,2.256754,0.643516,0.989806,0.000000,0.000000,0.000000
54,0.206511,2.391438,0.634978,0.989652,0.000000,0.000000,0.000000
55,0.204980,2.280995,0.643067,0.989890,0.000000,0.000000,0.000000
56,0.204533,2.243820,0.654651,0.989582,0.000000,0.000000,0.000000
57,0.200088,2.358999,0.644962,0.989778,0.000000,0.000000,0.000000
58,0.200278,2.411464,0.631541,0.989694,0.998592,1.000000,0.999295
59,0.199537,2.404823,0.637517,0.989862,0.000000,0.000000,0.000000
60,0.197760,2.365454,0.642125,0.989876,0.995787,1.000000,0.997889
61,0.193714,2.356686,0.644083,0.989736,0.998592,1.000000,0.999295
62,0.192074,2.294061,0.649620,0.989931,0.997187,1.000000,0.998592
63,0.192087,2.334138,0.645607,0.989638,0.000000,0.000000,0.000000
64,0.194333,2.342935,0.649270,0.989736,0.998592,1.000000,0.999295
65,0.189393,2.360448,0.641329,0.989778,0.998592,1.000000,0.999295
66,0.191624,2.333325,0.648099,0.989638,0.000000,0.000000,0.000000
67,0.192163,2.357858,0.643016,0.989722,0.000000,0.000000,0.000000
68,0.191485,2.372401,0.641514,0.989694,0.995787,1.000000,0.997889
69,0.194405,2.337083,0.649625,0.989764,0.000000,0.000000,0.000000
70,0.189434,2.344867,0.643085,0.989722,0.998592,1.000000,0.999295
71,0.193490,2.349701,0.645952,0.989778,0.997187,1.000000,0.998592
72,0.192510,2.359446,0.651361,0.989959,0.000000,0.000000,0.000000
73,0.187278,2.345726,0.639459,0.989750,0.000000,0.000000,0.000000
74,0.191689,2.339623,0.645418,0.989680,0.998592,1.000000,0.999295
75,0.187342,2.349021,0.646760,0.989638,0.000000,0.000000,0.000000
76,0.190705,2.363799,0.646170,0.989708,0.000000,0.000000,0.000000
77,0.189823,2.353632,0.645353,0.989806,0.998592,1.000000,0.999295
78,0.186935,2.363455,0.643648,0.989806,0.000000,0.000000,0.000000
79,0.188736,2.357877,0.641666,0.989820,0.000000,0.000000,0.000000
80,0.190083,2.341850,0.650807,0.989694,0.000000,0.000000,0.000000
81,0.190037,2.365686,0.644476,0.989792,0.000000,0.000000,0.000000
82,0.185189,2.376828,0.645296,0.989750,0.998592,1.000000,0.999295
83,0.187536,2.360423,0.649781,0.989694,0.998592,1.000000,0.999295
84,0.187150,2.345767,0.646621,0.989708,0.000000,0.000000,0.000000
85,0.189375,2.350551,0.649347,0.989834,0.000000,0.000000,0.000000
86,0.186888,2.352422,0.647855,0.989750,0.000000,0.000000,0.000000
87,0.187677,2.354154,0.645753,0.989778,0.997187,1.000000,0.998592
88,0.184361,2.384645,0.641704,0.989666,0.000000,0.000000,0.000000
89,0.187241,2.347166,0.645179,0.989917,0.998592,1.000000,0.999295
90,0.185312,2.354078,0.648937,0.989736,0.998592,1.000000,0.999295
91,0.185907,2.359159,0.646351,0.989778,0.000000,0.000000,0.000000
92,0.186310,2.358310,0.643650,0.989876,0.997187,1.000000,0.998592
93,0.185043,2.360741,0.646896,0.989904,0.998592,1.000000,0.999295
94,0.189214,2.359947,0.645498,0.989778,0.998592,1.000000,0.999295
95,0.186461,2.368794,0.646420,0.989750,0.998592,1.000000,0.999295
96,0.184532,2.361532,0.643140,0.989820,0.998592,1.000000,0.999295
97,0.185205,2.363076,0.647053,0.989820,0.000000,0.000000,0.000000
98,0.190097,2.362299,0.648216,0.990001,0.000000,0.000000,0.000000
99,0.187470,2.350071,0.648151,0.989750,0.000000,0.000000,0.000000
100,0.186069,2.365511,0.646108,0.989638,0.998592,1.000000,0.999295
101,0.186793,2.373113,0.648941,0.989568,0.998592,1.000000,0.999295
102,0.186193,2.342554,0.645114,0.989931,0.000000,0.000000,0.000000
103,0.185691,2.377855,0.646704,0.989945,0.000000,0.000000,0.000000
104,0.184713,2.372344,0.644615,0.989848,0.998592,1.000000,0.999295
105,0.185182,2.370017,0.644824,0.989917,0.998592,1.000000,0.999295
106,0.189221,2.365898,0.644934,0.989666,0.998592,1.000000,0.999295
107,0.189390,2.363221,0.643356,0.989750,0.998592,1.000000,0.999295
108,0.186229,2.370512,0.645618,0.989834,0.998592,1.000000,0.999295
109,0.185366,2.374846,0.648365,0.989722,0.000000,0.000000,0.000000
110,0.185440,2.357443,0.650046,0.989457,0.998592,1.000000,0.999295
111,0.183644,2.370103,0.648229,0.989778,0.000000,0.000000,0.000000
112,0.184772,2.352862,0.648409,0.989694,0.000000,0.000000,0.000000
113,0.182306,2.373568,0.643818,0.989834,0.998592,1.000000,0.999295
114,0.185693,2.370166,0.646810,0.989750,0.997187,1.000000,0.998592
115,0.185000,2.363847,0.645791,0.989890,0.998592,1.000000,0.999295
116,0.185206,2.361227,0.647332,0.989806,0.000000,0.000000,0.000000
117,0.184431,2.358167,0.643227,0.989792,0.998592,1.000000,0.999295
118,0.187008,2.355432,0.647266,0.989931,0.000000,0.000000,0.000000
119,0.182803,2.357746,0.646962,0.989582,0.998592,1.000000,0.999295
120,0.186046,2.373660,0.644512,0.989652,0.998592,1.000000,0.999295
121,0.182796,2.355286,0.648280,0.989820,0.000000,0.000000,0.000000
122,0.187294,2.366038,0.644181,0.989834,0.000000,0.000000,0.000000
123,0.186989,2.365329,0.646790,0.989638,0.998592,1.000000,0.999295
124,0.184849,2.378303,0.646905,0.989485,0.000000,0.000000,0.000000
125,0.184308,2.362228,0.643834,0.989666,0.998592,1.000000,0.999295
126,0.184846,2.370292,0.648389,0.989694,0.998592,1.000000,0.999295
127,0.183734,2.358543,0.647896,0.989680,0.998592,1.000000,0.999295
128,0.186668,2.358462,0.646476,0.989792,0.000000,0.000000,0.000000
129,0.190497,2.348024,0.643993,0.989708,0.000000,0.000000,0.000000
130,0.185093,2.362875,0.642204,0.989792,0.000000,0.000000,0.000000
131,0.188081,2.360060,0.646011,0.989778,0.000000,0.000000,0.000000
132,0.185334,2.360476,0.647191,0.989540,0.998592,1.000000,0.999295
133,0.183715,2.355997,0.646718,0.989512,0.000000,0.000000,0.000000
134,0.184921,2.377696,0.646299,0.989638,0.998592,1.000000,0.999295
135,0.184127,2.353240,0.650133,0.989750,0.998592,1.000000,0.999295
136,0.181712,2.360556,0.650358,0.989890,0.000000,0.000000,0.000000
137,0.183915,2.361742,0.644894,0.989890,0.998592,1.000000,0.999295
138,0.184905,2.352044,0.643322,0.989708,0.998592,1.000000,0.999295
139,0.189580,2.369817,0.644901,0.989806,0.000000,0.000000,0.000000
140,0.184018,2.364797,0.647952,0.989806,0.000000,0.000000,0.000000
141,0.184489,2.357256,0.643598,0.989638,0.000000,0.000000,0.000000
142,0.184351,2.369307,0.648650,0.989666,0.998592,1.000000,0.999295
143,0.186665,2.355078,0.644451,0.989736,0.997187,1.000000,0.998592
144,0.187012,2.374322,0.647985,0.989736,0.998592,1.000000,0.999295
145,0.184350,2.361936,0.649181,0.989750,0.998592,1.000000,0.999295
146,0.187442,2.365546,0.647158,0.989624,0.998592,1.000000,0.999295
147,0.184117,2.362765,0.647631,0.989736,0.998592,1.000000,0.999295
148,0.184775,2.363960,0.653028,0.989666,0.000000,0.000000,0.000000
149,0.187079,2.361270,0.644804,0.989764,0.000000,0.000000,0.000000
150,0.186561,2.367809,0.645101,0.989904,0.998592,1.000000,0.999295
151,0.188458,2.371020,0.647781,0.989736,0.998592,1.000000,0.999295
152,0.187334,2.364212,0.648928,0.989750,0.000000,0.000000,0.000000
